ID;Name;Index;DoB;Hire Date; Credit ;Days;ID Company;ID Occupation;
63;William Randes;0,048855899;29/11/1958 12:52;03/09/1965 12:52; 6.910,95 ;676;108;38;
64;Geffery Churchman;0,963254145;31/03/1957 19:17;13/05/1964 19:17; 8.919,59 ;1625;108;114;
65;William Farthowe;0,958924448;02/09/1934 06:41;15/10/1941 06:41; 9.813,50 ;1799;102;126;
66;Iohn Taylor;0,858293693;14/12/1999 16:31;01/01/2006 16:31; 5.878,85 ;548;101;18;
67;Philppe Robyns;0,784140518;14/01/1946 21:41;02/02/1952 21:41; 7.184,59 ;1789;110;31;
68;Thomas Phillippes;0,941694777;07/10/1991 04:39;17/06/1997 04:39; 4.107,98 ;232;107;94;
69;Valentine Beale;0,960645281;25/01/1910 03:20;30/10/1916 03:20; 6.233,90 ;1986;102;116;
70;Iames Skinner;0,445742271;11/05/2007 12:38;06/10/2013 12:38; 7.914,31 ;1964;106;114;
71;George Eseuen;0,55413786;30/01/2002 17:11;11/10/2007 17:11; 2.110,33 ;1413;110;85;
72;John Chaundeler;0,718634029;28/08/1955 16:46;10/10/1962 16:46; 8.179,90 ;1664;109;54;
73;Philip Blunt;0,821756229;30/06/1963 09:31;31/10/1968 09:31; 8.450,70 ;1326;104;28;
74;Richard Poore;0,912171013;17/02/1938 18:50;07/03/1944 18:50; 4.225,21 ;323;104;92;
75;Robert Yong;0,330386355;22/09/1903 03:22;02/06/1909 03:22; 2.870,81 ;501;103;116;
76;Marmaduke Constable;0,194399822;19/04/1911 03:21;14/09/1917 03:21; 8.850,82 ;522;104;79;
77;Thomas Hesket;0,221122166;18/05/1900 12:59;01/07/1907 12:59; 3.608,90 ;871;110;100;
78;William Wasse;0,97786918;08/04/1976 18:40;18/12/1981 18:40; 9.716,59 ;1245;105;22;
79;Iohn Feuer;0,528122834;17/04/1951 22:04;26/12/1956 22:04; 8.646,36 ;980;100;81;
80;Daniel Silva;0,591059123;07/12/1969 01:49;19/01/1977 01:49; 3.368,50 ;296;103;6;
81;Thomas Taylor;0,774864055;11/01/1997 17:07;24/02/2004 17:07; 5.563,03 ;736;110;10;
82;Richard Humfrey;0,827934547;13/09/1993 18:26;09/02/2000 18:26; 5.941,36 ;602;109;108;
83;Iohn Wright;0,506366885;21/10/1979 21:19;21/02/1985 21:19; 1.968,77 ;499;108;68;
84;Gabriell North;0,293475639;25/02/1928 09:34;09/04/1935 09:34; 4.128,95 ;219;110;46;
85;Bennet Chappell;0,502376957;09/05/1954 04:42;27/05/1960 04:42; 1.180,84 ;673;102;30;
86;Richard Sare;0,771519114;07/05/1922 23:10;02/10/1928 23:10; 7.096,77 ;460;102;63;
87;Iames Lasie;0,854426428;28/12/1900 16:34;03/10/1907 16:34; 9.089,95 ;1025;102;82;
88;Smolkin Silva;0,941683752;05/09/1936 17:31;24/09/1942 17:31; 344,82 ;1105;107;57;
89;Thomas Smart;0,55616534;21/10/1993 18:49;09/11/1999 18:49; 6.366,85 ;1466;110;127;
90;Robert Silva;0,913258037;06/01/1997 11:38;19/02/2004 11:38; 5.848,85 ;920;104;125;
91;Iohn Evans;0,948201329;18/03/1968 00:07;01/05/1975 00:07; 8.921,86 ;1654;109;7;
92;Roger Large;0,148675607;18/02/1966 17:28;16/07/1972 17:28; 6.783,37 ;1508;106;12;
93;Humfrey Garden;0,241755068;22/07/1985 12:24;26/04/1992 12:24; 1.431,03 ;712;102;66;
94;Frauncis Whitton;0,317847882;15/02/1981 20:33;21/11/1987 20:33; 9.661,28 ;1399;100;83;
95;Rowland Griffyn;0,80679512;02/04/1998 13:17;04/08/2003 13:17; 1.004,09 ;1085;104;18;
96;William Millard;0,79101672;03/12/1938 07:30;30/04/1945 07:30; 6.739,80 ;1912;108;18;
97;Iohn Twyt White;0,594243783;24/06/1906 01:47;12/07/1912 01:47; 6.604,01 ;1193;103;24;
98;Edwarde Seklemore;0,34584075;31/10/1954 14:15;05/08/1961 14:15; 8.745,78 ;441;108;61;
99;Iohn Anwike;0,647606217;05/05/1937 11:13;14/01/1943 11:13; 869,53 ;835;109;102;
100;Christopher Marshall;0,33072751;24/04/1921 13:55;13/05/1927 13:55; 815,94 ;1684;108;7;
101;Dauid Williams;0,134718073;10/08/2007 02:34;05/01/2014 02:34; 699,47 ;1671;105;117;
102;Nicholas Swabber;0,176461441;28/05/1987 05:37;05/02/1993 05:37; 7.962,41 ;1640;106;130;
103;Edward Chipping;0,468706503;25/09/1971 12:40;13/10/1977 12:40; 1.360,64 ;752;110;19;
104;Syluester Beching;0,364761517;06/06/1958 12:05;24/06/1964 12:05; 2.704,73 ;1679;102;131;
105;Vincent Cheyne;0,90994554;08/09/1960 01:50;27/09/1966 01:50; 6.023,82 ;283;106;58;
106;Haunce Walters;0,208262389;25/09/1953 21:06;06/06/1959 21:06; 8.669,73 ;1381;104;125;
107;Edward Barecombe;0,533675054;29/02/1940 05:30;13/04/1947 05:30; 3.887,04 ;186;104;86;
108;Thomas Skeuelabs;0,019235876;29/10/1936 01:52;04/08/1943 01:52; 1.755,36 ;943;103;48;
109;William Walters ;0,797715755;08/06/1989 09:32;21/07/1996 09:32; 3.165,17 ;204;103;28;
110;José da Silva;0,031897902;19/10/1961 23:23;07/11/1967 23:23; 7.770,70 ;213;103;77;
111;Maria Rosária;0,167946809;06/06/1998 06:27;11/03/2005 06:27; 5.103,57 ;1353;100;34;
112;Maria José Silva;0,126897928;29/12/1919 01:47;10/02/1927 01:47; 3.839,71 ;771;105;105;
113;Robson Nogueira;0,748906434;30/10/1905 02:17;27/03/1912 02:17; 2.286,31 ;1825;108;50;
114;Manuel Alves;0,506976768;23/07/1990 12:26;24/11/1995 12:26; 5.214,70 ;919;102;63;
115;Pedro Marinho;0,166754081;16/03/1925 12:26;28/04/1932 12:26; 4.667,64 ;579;101;81;
116;Walter Ralegh;0,715003099;02/10/1989 20:38;07/07/1996 20:38; 4.076,28 ;209;104;18;
117;Christopher Hatton;0,968330465;28/10/1970 22:49;08/07/1976 22:49; 5.177,01 ;286;102;63;
118;Francis Walsingham Philip Sidney;0,249318947;02/07/1988 21:22;21/07/1994 21:22; 5.417,63 ;1035;102;90;
119;William Courtnay;0,827583828;08/06/1923 10:14;26/06/1929 10:14; 1.113,79 ;259;104;88;
120;William Mohun;0,902638511;29/09/1951 00:07;30/01/1957 00:07; 7.909,78 ;1595;101;75;
121;John White, painter;0,225304065;27/08/1918 02:11;22/01/1925 02:11; 7.454,96 ;885;109;50;
122;Richard Grenville;0,402742538;20/10/1939 16:41;07/11/1945 16:41; 2.176,51 ;220;103;132;
123;Simon Fernandez;0,047414362;26/09/1948 23:02;22/02/1955 23:02; 1.045,35 ;1581;108;5;
124;John Clarke Roebuck;0,800465308;29/09/2000 01:24;25/02/2007 01:24; 7.210,65 ;425;102;45;
125;George Raymond;0,789841718;26/03/1974 20:36;28/07/1979 20:36; 3.168,93 ;1633;102;128;
126;Thomas Cavendish;0,502594952;03/02/1902 14:37;15/10/1907 14:37; 2.461,50 ;1155;102;38;
127;Arthur Barlowe;0,294118576;02/06/1907 21:23;20/06/1913 21:23; 6.998,51 ;1355;102;91;
128;Boniten Souza;0,518364631;26/11/1928 09:13;09/01/1936 09:13; 9.232,04 ;250;109;119;
129;Aubry Souza;0,324773907;01/02/1997 22:51;30/06/2003 22:51; 1.712,56 ;1101;102;66;
130;John Arundell;0,992759071;07/11/1986 12:39;18/07/1992 12:39; 6.075,67 ;458;109;118;
131;John Stukely;0,444332478;30/05/1957 01:09;04/03/1964 01:09; 5.148,62 ;887;107;132;
132;Edward Gorges;0,776429971;23/11/1961 15:51;05/01/1969 15:51; 8.943,93 ;1632;109;36;
133;Bremige Souza;0,994382066;18/07/2006 09:44;22/04/2013 09:44; 673,25 ;1075;105;128;
134;Vincent Souza;0,183336206;25/08/1986 00:50;12/09/1992 00:50; 655,64 ;580;108;91;
135;John Copeltope;0,165861649;15/12/1983 16:50;19/09/1990 16:50; 9.031,22 ;1109;110;19;
136;Edward Scrivener;0,898505501;07/08/1963 06:55;17/04/1969 06:55; 2.183,41 ;783;106;33;
137;Granganimeo Silva;0,014884229;06/02/1912 13:18;04/07/1918 13:18; 5.927,02 ;1062;106;61;
138;Manteo Silva;0,170950904;06/05/1905 18:40;07/09/1910 18:40; 1.381,84 ;1179;100;52;
139;Richard Hakluyt;0,213930785;03/03/1980 23:49;16/04/1987 23:49; 8.197,62 ;711;103;133;
140;Alonzo Cornieles;0,007628753;29/12/2007 08:36;10/02/2015 08:36; 9.481,87 ;1627;103;115;
141;Enrique Lopez;0,504757012;05/09/1971 14:57;10/06/1978 14:57; 5.724,09 ;218;103;18;
142;Bernard Drake;0,719948778;15/09/1983 23:13;16/01/1989 23:13; 1.497,33 ;1513;104;77;
143;Amyas Preston;0,106396318;06/11/2005 17:33;10/03/2011 17:33; 898,21 ;1898;109;13;
144;Andrew Fulforde;0,133748634;12/10/1969 02:08;23/06/1975 02:08; 2.564,57 ;504;103;126;
145;Marvin Gentleman;0,377098959;03/10/1930 06:22;21/10/1936 06:22; 9.660,66 ;487;100;110;
146;Kendall Gentleman;0,391074791;17/01/1985 07:31;01/03/1992 07:31; 9.903,53 ;1822;109;91;
147;Wingina Silva;0,80719615;11/10/1950 17:57;16/07/1957 17:57; 4.030,60 ;1948;103;23;
148;Atkinson Walsingham;0,043322373;17/08/1932 16:13;13/01/1939 16:13; 9.788,11 ;1040;104;87;
149;Russell Walsingham;0,912130819;28/12/2002 20:49;25/05/2009 20:49; 4.206,56 ;505;109;121;
150;Mary Master;0,176722182;08/09/1986 16:56;03/02/1993 16:56; 2.084,87 ;1124;107;116;
151;Francis Brooke;0,308669109;23/09/2004 07:39;06/11/2011 07:39; 5.387,61 ;536;108;87;
152;John Stubbe;0,173843595;14/09/1987 23:02;02/10/1993 23:02; 4.640,22 ;1813;105;98;
153;Peregrine Bertie;0,850519943;05/07/1968 01:42;18/08/1975 01:42; 9.059,90 ;303;110;43;
154;Martin Laurentson;0,534527481;13/09/2005 03:50;25/05/2011 03:50; 681,09 ;1710;108;82;
155;Diego Menendez de Valdes ;0,359916268;21/12/1959 12:02;23/04/1965 12:02; 7.352,14 ;274;100;2;
156;Walter Baily;0,317038333;19/03/1931 04:56;27/11/1936 04:56; 6.152,88 ;1698;102;101;
157;George Barton;0,767264016;10/08/1903 05:53;20/04/1909 05:53; 6.906,60 ;524;101;64;
158;Walter Bigges;0,660456978;29/05/1929 12:04;30/09/1934 12:04; 8.525,03 ;1064;105;48;
159;Bitfield Souza;0,06490855;28/09/1978 19:19;10/11/1985 19:19; 8.824,59 ;886;101;101;
160;Baptista Boazio Gentleman;0,639602162;11/03/1991 06:56;29/03/1997 06:56; 4.924,23 ;1196;106;133;
161;Edward Careless als Wright;0,53392706;11/08/2004 10:19;17/05/2011 10:19; 7.689,87 ;1941;109;45;
162;Christopher Carleill;0,434897231;14/03/1990 03:01;09/08/1996 03:01; 9.392,99 ;1874;110;88;
163;Lieutenant Thomas Cates;0,233216668;22/02/1993 00:10;06/04/2000 00:10; 4.457,71 ;1673;109;35;
164;William Cecil;0,997320371;05/12/1911 23:16;02/05/1918 23:16; 7.702,19 ;1787;104;73;
165;Thomas Cely;0,920152598;01/06/1944 06:32;15/07/1951 06:32; 7.495,05 ;277;110;18;
166; Cottell Souza;0,536660112;15/08/1931 18:18;25/04/1937 18:18; 846,23 ;378;104;86;
167;Lieutenant Croftes;0,708010397;26/02/1975 01:21;10/04/1982 01:21; 8.036,92 ;884;110;129;
168;Robert Crosse;0,764836187;22/04/1950 16:53;17/09/1956 16:53; 1.850,63 ;1636;107;53;
169;Francis Drake;0,063370577;17/08/2005 13:19;19/12/2010 13:19; 8.621,39 ;1452;104;107;
170;Thomas Drake;0,330034301;27/03/1982 12:50;29/07/1987 12:50; 2.824,05 ;288;107;43;
171;James Erisey;0,250339051;10/09/1942 02:42;23/10/1949 02:42; 3.995,15 ;1213;105;11;
172;Thomas Fenner;0,091107738;30/05/1906 00:02;17/06/1912 00:02; 1.879,02 ;105;103;27;
173;George Fortescue;0,379277471;06/10/1979 03:23;16/06/1985 03:23; 2.911,29 ;377;110;80;
174;Martin Frobisher;0,669476214;05/06/1972 20:21;01/11/1978 20:21; 5.049,87 ;944;103;87;
175;Edward Gilman;0,477250365;18/03/2000 04:20;01/05/2007 04:20; 6.170,20 ;1422;107;67;
176;John Goring;0,16819375;06/04/1988 17:25;08/08/1993 17:25; 8.715,97 ;1749;104;78;
177;John Grant;0,365777971;06/02/1909 23:43;05/07/1915 23:43; 2.636,89 ;1885;109;12;
178;John Grenville;0,347899541;20/03/1913 03:34;24/12/1919 03:34; 5.569,42 ;1431;108;17;
179;Fulke Greville;0,471532337;17/10/1962 08:31;22/07/1969 08:31; 1.720,14 ;481;102;115;
180;John Hampton;0,619042232;10/08/2005 01:58;21/04/2011 01:58; 8.663,47 ;816;104;109;
181;John Hannam;0,393560902;22/09/1984 03:21;11/10/1990 03:21; 933,74 ;188;101;131;
182;Richard Hawkins;0,115353544;22/12/1987 09:27;03/02/1995 09:27; 6.210,12 ;941;104;129;
183;William Hawkins Silva;0,051988427;31/05/1967 05:36;13/07/1974 05:36; 157,27 ;544;102;18;
184;William Hawkins Souza;0,696550615;15/04/1992 19:05;29/05/1999 19:05; 544,09 ;990;104;89;
185;Henley Souza;0,066597021;25/01/2007 19:04;12/02/2013 19:04; 8.580,89 ;943;104;44;
186;Griffith Herne;0,01456794;27/03/1942 15:51;30/12/1948 15:51; 6.767,13 ;259;100;72;
187;Jonas Herne;0,367232358;10/05/2010 19:04;22/06/2017 19:04; 3.468,41 ;1143;100;91;
188;Abraham Kendall;0,026181139;25/05/1966 08:26;07/07/1973 08:26; 1.500,83 ;101;107;55;
189;Francis Knollys;0,083309279;06/01/2008 19:17;09/05/2013 19:17; 6.225,16 ;1194;108;82;
190;John Marchant;0,63531556;20/10/1977 01:03;08/11/1983 01:03; 5.537,24 ;1199;103;79;
191;John Martin;0,503094723;12/09/1903 00:45;17/06/1910 00:45; 1.323,44 ;1695;101;74;
192;Thomas Moone;0,839662204;14/03/2007 21:42;17/12/2013 21:42; 2.268,39 ;1406;101;102;
193;Matthew Morgan;0,114132827;30/12/1961 21:13;18/01/1968 21:13; 7.319,76 ;1073;104;110;
194;Philip Nicholls, chaplain;0,533479187;17/09/1969 19:27;30/10/1976 19:27; 8.451,39 ;857;110;53;
195;Robert Pew;0,242718984;29/04/1933 23:51;11/06/1940 23:51; 7.906,73 ;1268;101;98;
196;Anthony Platt;0,285346795;13/06/1902 19:30;18/03/1909 19:30; 3.188,08 ;123;105;61;
197;Anthony Powell;0,650721757;05/04/1905 02:43;09/01/1912 02:43; 11,26 ;1275;104;48;
198;Edward Powell;0,494369158;05/04/1913 05:04;24/04/1919 05:04; 9.897,69 ;1878;106;64;
199;John Rivers;0,604849054;21/02/1982 20:41;05/04/1989 20:41; 8.502,91 ;479;100;72;
200;John Sampson;0,05501988;25/11/1953 13:56;07/01/1961 13:56; 4.322,09 ;1519;103;5;
201;Philip Sparrowe;0,579053816;16/10/1976 03:59;27/06/1982 03:59; 2.307,84 ;108;102;117;
202;Richard Stanton;0,893351742;27/04/1990 20:12;30/01/1997 20:12; 264,51 ;1974;105;99;
203;John Varney;0,871586853;11/12/2007 05:50;08/05/2014 05:50; 1.773,30 ;1271;103;40;
204;John Vaughan;0,405787154;14/05/2010 09:40;23/01/2016 09:40; 2.167,76 ;1600;108;29;
205;Lieutenant Waterhouse;0,057210696;22/06/1967 04:54;27/03/1974 04:54; 7.890,21 ;771;100;81;
206;Henry Whyte;0,874439022;15/01/1942 20:57;12/06/1948 20:57; 5.642,91 ;510;103;21;
207;John Wilson;0,059378995;10/04/2007 15:58;05/09/2013 15:58; 3.688,94 ;763;101;117;
208;Edward Wynter;0,142817468;24/07/1973 01:20;28/04/1980 01:20; 2.315,15 ;1950;107;57;
209;Nicholas Winter Gentleman;0,208959822;29/03/1965 15:33;25/08/1971 15:33; 862,42 ;1260;101;46;
210;Robert Alexander;0,763763469;28/02/1918 16:48;26/07/1924 16:48; 9.447,61 ;918;108;91;
211;Annes Gentleman;0,100834886;27/12/1903 18:34;06/09/1909 18:34; 5.953,57 ;946;109;125;
212;Ardle Gentleman;0,135366542;04/05/1947 06:04;04/09/1952 06:04; 3.976,22 ;1156;105;106;
213;Mr Burke, soldier;0,284199178;01/06/1976 08:21;10/02/1982 08:21; 5.097,98 ;675;110;67;
214;Alexander Carleill;0,79740328;02/03/1987 03:46;14/04/1994 03:46; 6.692,00 ;783;106;31;
215;George Cavendish;0,232789212;14/06/1930 05:24;09/11/1936 05:24; 5.765,63 ;1091;109;98;
216;Chamberlain Gentleman;0,984762949;08/04/2004 16:03;18/12/2009 16:03; 1.906,97 ;1396;102;86;
217;James Dier;0,309505537;13/05/1932 08:14;26/06/1939 08:14; 7.747,46 ;1767;110;62;
218;Peter Duke;0,231044337;17/06/1901 21:29;30/07/1908 21:29; 376,73 ;494;106;77;
219;Lieutenant Escot;0,211559903;05/01/1974 08:05;02/06/1980 08:05; 885,37 ;620;106;53;
220;Lieutenant Ketill;0,271267392;19/06/1925 11:48;01/08/1932 11:48; 3.003,97 ;114;107;99;
221;Longe Gentleman;0,384413914;22/08/2002 00:29;17/01/2009 00:29; 7.255,52 ;1524;104;101;
222;John Newsome;0,142288654;11/12/1969 07:55;22/08/1975 07:55; 5.004,73 ;367;108;1;
223;Thomas Ogle Steward;0,411315734;04/04/1933 10:34;06/08/1938 10:34; 948,55 ;1361;102;107;
224;Mr Scroope;0,391722766;20/12/1939 14:59;22/04/1945 14:59; 5.661,07 ;1211;110;121;
225;Lieutenant Alexander Starkey;0,250537413;08/12/1965 16:04;12/09/1972 16:04; 7.493,27 ;1333;110;83;
226;Thorowgood Gentleman;0,175826001;09/08/1948 03:12;22/09/1955 03:12; 7.169,92 ;1608;104;48;
227;Lieutenant Thomas Tucker;0,117213731;19/02/1907 15:02;09/03/1913 15:02; 8.155,62 ;427;109;119;
228;Lieutenant Vincent;0,646313233;12/05/1962 02:54;21/01/1968 02:54; 4.493,73 ;1891;110;15;
229;Willis Gentleman;0,32936758;30/05/1989 04:47;26/10/1995 04:47; 2.830,54 ;1752;107;46;
230;John White, Governor;0,030719619;01/03/1982 04:00;03/07/1987 04:00; 1.062,21 ;1622;108;58;
231;Roger Bailie Silva;0,37109757;21/11/1901 16:12;02/08/1907 16:12; 1.136,51 ;1362;104;51;
232;Ananias Dare Silva;0,023486818;08/10/1905 02:02;19/06/1911 02:02; 9.275,00 ;1473;101;82;
233;Christopher Cooper Silva;0,466183279;24/12/1923 05:30;21/05/1930 05:30; 1.330,72 ;1462;110;49;
234;Thomas Stevens Silva;0,687795029;05/01/1928 18:05;15/09/1933 18:05; 2.012,10 ;1878;103;132;
235;John Sampson Silva;0,04981789;27/11/1974 03:40;24/04/1981 03:40; 4.830,86 ;1383;107;132;
236;Dyonis Harvie Silva;0,344331998;08/08/2003 08:28;20/09/2010 08:28; 489,64 ;1193;100;44;
237;Roger Prat Silva;0,827613255;17/10/2005 12:37;14/03/2012 12:37; 8.805,83 ;611;101;28;
238;George Howe Silva;0,49605574;02/02/1945 09:11;08/11/1951 09:11; 3.355,31 ;727;106;31;
239;Nicholas Johnson;0,878324784;17/03/1960 20:04;21/12/1966 20:04; 7.036,94 ;1768;101;23;
240;Thomas Warner;0,094607384;29/12/1953 10:42;26/05/1960 10:42; 642,64 ;104;100;111;
241;Anthony Cage;0,008436571;09/12/1998 15:30;27/12/2004 15:30; 8.916,88 ;1651;108;92;
242;John Jones;0,301009813;20/02/1946 16:48;10/03/1952 16:48; 3.240,55 ;1128;108;126;
243;John Tydway;0,188068856;29/08/1974 17:50;31/12/1979 17:50; 5.861,77 ;190;110;119;
244;Ambrose Viccars;0,282425759;22/03/1967 19:17;30/11/1972 19:17; 7.476,45 ;379;102;73;
245;Edmond English;0,222934443;20/04/2000 06:37;24/01/2007 06:37; 3.654,62 ;520;100;24;
246;Thomas Topan;0,301078541;30/12/1931 19:20;02/05/1937 19:20; 4.623,02 ;1747;100;127;
247;Henry Berrye;0,935045036;09/05/1994 22:57;18/01/2000 22:57; 8.249,98 ;483;110;126;
248;Richard Berrye;0,601707274;30/04/1940 19:53;19/05/1946 19:53; 8.544,41 ;1326;104;38;
249;John Spendlove;0,381299769;18/08/1917 17:32;06/09/1923 17:32; 6.960,86 ;404;105;99;
250;John Hemmington;0,295747439;16/03/2000 09:52;04/04/2006 09:52; 9.818,40 ;1691;107;82;
251;Thomas Butler;0,351448637;30/04/1930 18:31;18/05/1936 18:31; 9.674,76 ;1780;106;47;
252;Edward Powell;0,6271743;04/07/1976 11:17;30/11/1982 11:17; 5.488,70 ;676;107;131;
253;John Burden;0,920778901;02/06/1916 06:21;11/02/1922 06:21; 5.516,78 ;1688;103;31;
